company_name,isin,symbol,op_symbol,stock_exchange_symbol,stock_symbol_yahoo,dividend_info_resource
AES Corp,US00130H1059,AES,AES,AES,,
AT&T Inc,US00206R1023,T,T,T,,
Alpha Metallurgical Resources Inc,US0207641061,AMR,AMR,AMR,,
Altria Group Inc,US02209S1033,MO,MO,MO,,
Biontech SE ADR,US09075V1026,BNTX,BNTX,BNTX,,
Brightstar Lottery PLC,GB00BVG7F061,BRSL,BRSL,BRSL,https://ir.brightstarlottery.com/stock-info/dividend-history/default.aspx,
Bristol-Myers Squibb Co,US1101221083,BMY,BMY,BMY,,
British American Tobacco,GB0002875804,BATS,BATS,BATS.L,,
British American Tobacco ADR,US1104481072,BTI,BTI,BTI,,
CVS Health Corp,US1266501006,CVS,CVS,CVS,,
Chevron,US1667641005,CVX,CVX,CVX,,
Danaos,US23572J1051,DAC,DAC,DAC,,
E.ON N,DE000ENAG999,EOAN,EOAN,EOAN.DE,,
Enbridge,CA29250N1050,ENB,ENB,ENB.TO,,
Exxon Mobil Corp,US30231G1022,XOM,XOM,XOM,,
Finnair Oyj,FI4000567029,FIA1S,FIA1S,FIA1S.HE,,
Fortum Oyj,FI0009007132,FORTUM,FORTUM,FORTUM.HE,,
"Gilead Sciences, Inc",US3755581036,GILD,GILD,GILD,,
GlaxoSmithKline,GB00BN7SWP63,GSK,GSK,GSK.L,,
Imperial Brands,GB0004544929,IMB,IMB,IMB.L,,
JD.com Inc A ADR,US47215P1066,JD,JD,JD,,
Kraft Heinz Co,US5007541064,KHC,KHC,KHC,,
Mandatum,FI4000552526,MANTA,MANTA,MANTA.HE,https://www.mandatum.fi/en/group/investors/share/dividend/,
Merck & Co Inc,US58933Y1055,MRK,MRK,MRK,,
Moderna Inc,US60770K1079,MRNA,MRNA,MRNA,,
Noble Corp PLC,GB00BMXNWH07,NE,NE,NE,,
Novo Nordisk B,DK0062498333,NOVO-B,NOVO-B,NOVO-B.CO,,
Occidental Petroleum Corp,US6745991058,OXY,OXY,OXY,,
PDD Holdings Inc ADR,US7223041028,PDD,PDD,PDD,,
Palantir Technologies Inc A,US69608A1088,PLTR,PLTR,PLTR,,
Pfizer Inc,US7170811035,PFE,PFE US,PFE,,
Philip Morris International Inc,US7181721090,PM,PM,PM,,
Sampo Oyj A,FI4000552500,SAMPO,SAMPO,SAMPO.HE,,
Sirius XM Holdings Inc,US8299331004,SIRI,SIRI,SIRI,,
Telus,CA87971M1032,T,T,T.TO,,
Tencent Holdings Ltd.,KYG875721634,TCEHY,TCEHY,TCEHY,,
US Bancorp,US9029733048,USB,USB,USB,,
Verizon Communications Inc,US92343V1044,VZ,VZ,VZ,,
Vodafone Group,GB00BH4HKS39,VOD,VOD,VOD.L,,
Vodafone Group PLC,XXX,VODI,VODI,VODI.DE,,
Warrior Met Coal Inc,US93627C1018,HCC,HCC,HCC,,
